Question No.,Logical Correctness (Low/Medium/High),Mathematical correctness (Correct/Incorrect),Readability (Low/Medium/High),Comments
0,Medium,Incorrect,High,
1,Medium,Incorrect,Medium,
2,Medium,Correct,High,
3,Low,Correct,High,
4,Medium,Correct,High,
5,Medium,Incorrect,High,
6,Medium,Incorrect,Medium,
7,High,Correct,High,
8,High,Correct,High,
9,High,Correct,High,
10,Medium,Incorrect,Medium,
11,High,Correct,High,
12,Medium,Incorrect,High,
13,Medium,Incorrect,Medium,
14,High,Correct,High,
15,Medium,Correct,High,
16,High,Correct,High,
17,High,Correct,High,
18,Medium,Incorrect,High,
19,Low,Incorrect,Medium,
20,Low,Incorrect,High,
21,High,Correct,High,
22,High,Correct,High,
23,Medium,Correct,High,
24,Low,Incorrect,High,
25,Low,Correct,Medium,
26,Low,Incorrect,Low,
27,High,Correct,High,
28,High,Correct,High,
29,Low,Correct,Low,
30,Low,Correct,High,
31,Low,Correct,High,
32,Low,Correct,High,
33,Low,Correct,Medium,
34,Low,Correct,Low,
35,,,,Problem ambiguous/incorrect
36,Medium,Correct,High,
37,,,,Problem ambiguous/incorrect
38,High,Correct,High,
39,High,Correct,High,
40,Medium,Correct,High,
41,Low,Correct,Medium,
42,Medium,Incorrect,High,
43,Low,Correct,High,
44,Medium,Correct,High,
45,Medium,Correct,High,
46,High,Correct,High,
47,Medium,Correct,High,
48,Medium,Correct,High,
49,Low,Correct,High,
50,Medium,Correct,Medium,
51,Medium,Incorrect,High,
52,Medium,Correct,Medium,
53,Low,Incorrect,Medium,
54,High,Correct,High,
55,High,Correct,High,
56,Medium,Incorrect,High,
57,Low,Correct,High,
58,Low,Correct,High,
59,High,Correct,High,
60,Low,Correct,Medium,
61,Low,Correct,Low,
62,High,Correct,High,
63,Low,Incorrect,Medium,
64,High,Correct,High,
65,High,Correct,High,
66,High,Incorrect,High,
67,High,Correct,High,
68,Low,Incorrect,High,
69,Low,Incorrect,High,
70,Low,Correct,Medium,
71,Low,Incorrect,Medium,
72,Low,Correct,High,
73,High,Correct,High,
74,Low,Correct,High,
75,Medium,Correct,High,
76,Medium,Correct,High,
77,High,Correct,High,
78,High,Correct,High,
79,Medium,Correct,High,
80,Medium,Incorrect,High,
81,Medium,Incorrect,High,
82,High,Correct,High,
83,Medium,Correct,High,
84,,,,Problem ambiguous/incorrect
85,Medium,Correct,High,
86,Low,Correct,High,
87,Low,Correct,Medium,
88,Low,Correct,Medium,
89,High,Correct,High,
90,Medium,Incorrect,Medium,
91,Low,Correct,Medium,
92,High,Correct,High,
93,,,,Problem ambiguous/incorrect
94,High,Correct,High,
95,Medium,Correct,High,
96,High,Correct,High,
97,High,Correct,High,
98,Medium,Correct,High,
99,Medium,Correct,High,
