Question No.,Logical Correctness (Low/Medium/High),Mathematical correctness (Correct/Incorrect),Readability (Low/Medium/High),Comments
0,Medium,Correct,High,
1,Medium,Incorrect,High,
2,Low,Incorrect,Medium,
3,Low,Correct,High,
4,Medium,Incorrect,High,
5,Low,Incorrect,Medium,
6,Low,Incorrect,High,
7,High,Correct,High,
8,Medium,Incorrect,High,
9,Medium,Incorrect,Medium,
10,Low,incorrect,Medium,
11,Low,Incorrect,Low,
12,Medium,Correct,High,
13,Medium,Incorrect,Medium,
14,Low,Incorrect,Low,
15,Low,Incorrect,High,
16,High,Correct,High,
17,Medium,Correct,Medium,
18,Low,Correct,High,
19,Low,Incorrect,Medium,
20,Low,Incorrect,Medium,
21,High,Correct,High,
22,High,Correct,High,
23,Medium,Correct,Medium,
24,Low,Incorrect,Medium,
25,Low,Correct,Medium,
26,High,Correct,High,
27,Low,Correct,Low,
28,High,Correct,High,
29,Low,Incorrect,Low,
30,High,Incorrect,High,
31,Low,Correct,Low,
32,Low,Incorrect,Low,
33,Low,Correct,High,
34,Low,Correct,High,
35,,,,Problem ambiguous/incorrect
36,Medium,Incorrect,Medium,
37,,,,Problem ambiguous/incorrect
38,High,Correct,High,
39,High,Correct,High,
40,Low,Incorrect,Medium,
41,Medium,Correct,High,
42,Medium,Incorrect,Medium,
43,Low,Incorrect,Medium,
44,High,Correct,Medium,
45,Low,Incorrect,High,
46,Low,Incorrect,High,
47,Low,Correct,Medium,
48,Low,Incorrect,High,
49,Low,Correct,High,
50,Low,Correct,Medium,
51,Medium,Incorrect,High,
52,Low,Incorrect,High,
53,Low,Incorrect,Medium,
54,High,Correct,High,
55,High,Correct,Medium,
56,Low,Incorrect,High,
57,Low,Correct,Medium,
58,Low,Correct,High,
59,Low,Incorrect,High,
60,Low,Correct,High,
61,Low,Incorrect,Low,
62,High,Correct,High,
63,Low,Incorrect,Medium,
64,High,Correct,High,
65,High,Correct,High,
66,Low,Correct,High,
67,Low,Correct,High,
68,High,Correct,High,
69,Low,Correct,High,
70,Low,Correct,High,
71,High,Incorrect,High,
72,Low,Correct,Medium,
73,Low,Correct,Medium,
74,Low,Correct,High,
75,Low,Correct,Medium,
76,Low,Correct,High,
77,Medium,Incorrect,High,
78,High,Correct,High,
79,Medium,Correct,High,
80,Medium,Incorrect,Low,
81,Low,Incorrect,High,
82,Low,Correct,High,
83,Medium,Correct,High,
84,,,,Problem ambiguous/incorrect
85,Medium,Incorrect,High,
86,Medium,Correct,Medium,
87,Low,Correct,Medium,
88,Low,Correct,High,
89,Low ,Incorrect,Medium,
90,Medium,Correct,Medium,
91,Low,Correct,Medium,
92,Medium,Correct,High,
93,,,,Problem ambiguous/incorrect
94,Medium,Correct,Medium,
95,Low,Correct,Medium,
96,High,Correct,High,
97,Medium,Correct,Medium,
98,Low,Correct,High,
99,High,Correct,Medium,
