Question No.,Logical Correctness (Low/Medium/High),Mathematical correctness (Correct/Incorrect),Readability (Low/Medium/High),Comments
0,High,Correct,Medium,
1,High,Correct,High,
2,High,Correct,High,
3,High,Correct,High,
4,Medium,Correct,High,
5,Low,Incorrect,High,
6,Medium,Incorrect,High,
7,High,Correct,High,
8,Medium,Incorrect,High,
9,Medium,Correct,High,
10,Low,correct,Low,
11,High,correct,High,
12,high,correct,high,
13,High,Incorrect,High,
14,High,Correct,High,
15,Medium,Incorrect,Medium,
16,High,Correct,High,
17,High,Correct,High,
18,Medium,Incorrect,High,
19,Low,Incorrect,High,
20,Medium,Incorrect,High,
21,High,Correct,High,
22,High,Correct,High,
23,Low,Correct,High,
24,Medium,Correct,High,
25,Low,Correct,High,
26,High,Correct,High,
27,Low,Incorrect,High,
28,High,Correct,High,
29,Medium,Incorrect,Medium,
30,High,Correct,High,
31,High,Correct,High,
32,Low,Incorrect,Medium,
33,Low,Incorrect,Medium,
34,Low,Incorrect,Low,
35,,,,Problem ambiguous/incorrect
36,High,Correct,High,
37,,,,Problem ambiguous/incorrect
38,Low,Incorrect,Medium,
39,High,Correct,High,
40,Medium,Incorrect,Medium,
41,High,Correct,High,
42,Medium,Incorrect,High,
43,High,Correct,High,
44,High,Correct,High,
45,Medium,Incorrect,High,
46,High,Incorrect,High,
47,High,Incorrect,High,
48,High,Incorrect,High,
49,Medium,Incorrect,High,
50,Medium,Incorrect,Medium,
51,Medium,Incorrect,High,
52,High,Correct,High,
53,Low,Incorrect,Medium,
54,High,Correct,High,
55,High,Correct,High,
56,Medium,Incorrect,High,
57,High,Incorrect,High,
58,Medium,Correct,High,
59,High,Correct,High,
60,Low,Correct,Medium,
61,Low,Correct,Medium,
62,High,Correct,High,
63,High,Correct,High,
64,High,Correct,High,
65,High,Correct,High,
66,High,Incorrect,High,
67,High,Correct,High,
68,High,Correct,High,
69,Low,Incorrect,High,
70,High,Correct,High,
71,High,Incorrect,High,
72,Low,Correct,High,
73,High,Correct,High,
74,Medium,Correct,High,
75,Low,Correct,High,
76,High,Correct,High,
77,High,Correct,High,
78,High,Correct,High,
79,Medium,Correct,High,
80,High,Correct,High,
81,Low,Correct,High,
82,Low,Correct,Medium,
83,High,Correct,High,
84,,,,Problem ambiguous/incorrect
85,Medium,Correct,Medium,
86,Low,Correct,Medium,
87,High,Correct,High,
88,Medium,Correct,High,
89,Low,Correct,Medium,
90,High,Correct,High,
91,Low,Correct,Medium,
92,Low,Correct,Low,
93,,,,Problem ambiguous/incorrect
94,High,Correct,High,
95,Low,Correct,Medium,
96,High,Correct,High,
97,Medium,Correct,Medium,
98,Medium,Correct,High,
99,Low,Correct,High,
