Question No.,Logical Correctness (Low/Medium/High),Mathematical correctness (Correct/Incorrect),Readability (Low/Medium/High),Comments
0,Low,Incorrect,Low,
1,Low,Correct,Medium,
2,Low,Incorrect,Low,
3,Low,Incorrect,Medium,
4,Low,Incorrect,Low,
5,Low,Correct,Medium,
6,Low,Correct,High,
7,High,Correct,High,
8,Medium,Incorrect,High,
9,Medium,Incorrect,Medium,
10,Low,Incorrect,Low,
11,Low,Incorrect,Medium,
12,Low,Incorrect,Low,
13,Low,Incorrect,Medium,
14,Low,Correct,High,
15,Low,Correct,Medium,
16,Medium,Correct,Medium,
17,Low,Incorrect,Low,
18,Low ,Incorrect,Low,
19,Low,Correct,Low,
20,Low,Incorrect,Medium,
21,Low,Correct,Medium,
22,Low,Incorrect,High,
23,Low,Correct,Low,
24,Low,Correct,Low,
25,Low,Correct,Medium,
26,Medium,Correct,High,
27,Medium,Correct,High,
28,High,Correct,High,
29,Low,Correct,Low,
30,Low,Incorrect,Low,
31,Low,Incorrect,Low,
32,Low,Correct,Low,
33,Low,Incorrect,Low,
34,Low,Correct,High,
35,,,,Problem ambiguous/incorrect
36,Medium,Incorrect,Medium,
37,,,,Problem ambiguous/incorrect
38,High,Correct,High,
39,High,Correct,High,
40,Low,Incorrect,Low,
41,Low,Correct,High,
42,Low,Incorrect,Medium,
43,Low,Incorrect,Low,
44,Low,Incorrect,High,
45,Low,Correct,Medium,
46,Low,Incorrect,Medium,
47,Low,Incorrect,Medium,
48,Low,Incorrect,Medium,
49,Low,Correct,Medium,
50,Low,Incorrect,Low,
51,High,Correct,Medium,
52,Low,Incorrect,Low,
53,Low,Incorrect,Medium,
54,Low,Correct,Medium,
55,Low,Correct,High,
56,Low,Incorrect,Medium,
57,Low,Correct,Medium,
58,Low,Correct,High,
59,Low,Correct,Medium,
60,Low,Incorrect,Medium,
61,Low,Correct,Medium,
62,Medium,Incorrect,High,
63,Low,Incorrect,Low,
64,Low,Incorrect,Medium,
65,Low,Correct,Low,
66,Medium,Correct,Medium,
67,Low,Incorrect,Medium,
68,Low,Incorrect,Medium,
69,Low,Correct,Medium,
70,Medium,Incorrect,Low,
71,Low,Incorrect,Low,
72,Low,Correct,Low,
73,Low,Incorrect,Low,
74,Low,Incorrect,Medium,
75,Low,Correct,High,
76,Medium,Correct,High,
77,Medium,Incorrect,Medium,
78,Low,Incorrect,Medium,
79,Medium,Correct,High,
80,Low ,Incorrect,Low,
81,Low,Correct,Low,
82,Low,Correct,Medium,
83,Medium,Correct,Medium,
84,,,,Problem ambiguous/incorrect
85,Low,Incorrect,Medium,
86,Low,Correct,Medium,
87,Medium,Correct,Medium,
88,Medium,Correct,High,
89,Medium,Incorrect,Medium,
90,Low,Incorrect,Medium,
91,Low,Correct,Medium,
92,Low,Correct,Medium,
93,,,,Problem ambiguous/incorrect
94,Low,Correct,Low,
95,Medium,Incorrect,Medium,
96,Low,Correct,Low,
97,Low,Correct,Medium,
98,Medium,Incorrect,Medium,
99,Low,Correct,Low,
